,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
2162,20200722,NJ,177645.0,1663284.0,389,22585,15562.0,24,22974,1840929.0,31850.0,1.69%,145795.0
2202,20200721,KS,23334.0,238197.0,0,0,307.0,0,0,261531.0,1016.0,0.00%,22318.0
2218,20200721,NJ,177256.0,1640699.0,293,14788,15538.0,22,15081,1817955.0,31781.0,1.94%,145475.0
2258,20200720,KS,23334.0,238197.0,1369,10809,307.0,8,12178,261531.0,1016.0,11.24%,22318.0
2274,20200720,NJ,176963.0,1625911.0,180,11557,15516.0,10,11737,1802874.0,31448.0,1.53%,145515.0
2314,20200719,KS,21965.0,227388.0,0,0,299.0,0,0,249353.0,983.0,0.00%,20982.0
2330,20200719,NJ,176783.0,1614354.0,-31,9718,15506.0,8,9687,1791137.0,31405.0,-0.32%,145378.0
2370,20200718,KS,21965.0,227388.0,0,0,299.0,0,0,249353.0,983.0,0.00%,20982.0
2386,20200718,NJ,176814.0,1604636.0,263,12259,15498.0,15,12522,1781450.0,31400.0,2.10%,145414.0
2426,20200717,KS,21965.0,227388.0,1032,8947,299.0,0,9979,249353.0,983.0,10.34%,20982.0
2442,20200717,NJ,176551.0,1592377.0,50,8974,15483.0,19,9024,1768928.0,31400.0,0.55%,145151.0
2482,20200716,KS,20933.0,218441.0,0,0,299.0,0,0,239374.0,948.0,0.00%,19985.0
2498,20200716,NJ,176501.0,1583403.0,223,17334,15464.0,31,17557,1759904.0,31400.0,1.27%,145101.0
2538,20200715,KS,20933.0,218441.0,875,7324,299.0,11,8199,239374.0,948.0,10.67%,19985.0
2554,20200715,NJ,176278.0,1566069.0,363,20753,15433.0,25,21116,1742347.0,31400.0,1.72%,144878.0
2594,20200714,KS,20058.0,211117.0,0,0,288.0,0,0,231175.0,920.0,0.00%,19138.0
2610,20200714,NJ,175915.0,1545316.0,393,20453,15408.0,22,20846,1721231.0,31318.0,1.89%,144597.0
2650,20200713,KS,20058.0,211117.0,1447,11949,288.0,4,13396,231175.0,920.0,10.80%,19138.0
2666,20200713,NJ,175522.0,1524863.0,224,14557,15386.0,19,14781,1700385.0,31261.0,1.52%,144261.0
2706,20200712,KS,18611.0,199168.0,0,0,284.0,0,0,217779.0,905.0,0.00%,17706.0
2722,20200712,NJ,175298.0,1510306.0,339,23981,15367.0,16,24320,1685604.0,31190.0,1.39%,144108.0
2762,20200711,KS,18611.0,199168.0,0,0,284.0,0,0,217779.0,905.0,0.00%,17706.0
2778,20200711,NJ,174959.0,1486325.0,331,37795,15351.0,46,38126,1661284.0,31092.0,0.87%,143867.0
2818,20200710,KS,18611.0,199168.0,993,8304,284.0,2,9297,217779.0,905.0,10.68%,17706.0
2834,20200710,NJ,174628.0,1448530.0,388,23353,15305.0,31,23741,1623158.0,31014.0,1.63%,143614.0
2874,20200709,KS,17618.0,190864.0,0,0,282.0,0,0,208482.0,879.0,0.00%,16739.0
2890,20200709,NJ,174240.0,1425177.0,201,21368,15274.0,25,21569,1599417.0,30938.0,0.93%,143302.0
2930,20200708,KS,17618.0,190864.0,717,5546,282.0,2,6263,208482.0,879.0,11.45%,16739.0
2946,20200708,NJ,174039.0,1403809.0,161,17554,15249.0,52,17715,1577848.0,30844.0,0.91%,143195.0
2986,20200707,KS,16901.0,185318.0,0,0,280.0,0,0,202219.0,859.0,0.00%,16042.0
3002,20200707,NJ,173878.0,1386255.0,267,10657,15197.0,53,10924,1560133.0,30774.0,2.44%,143104.0
3042,20200706,KS,16901.0,185318.0,982,9676,280.0,3,10658,202219.0,859.0,9.21%,16042.0
3058,20200706,NJ,173611.0,1375598.0,209,14360,15144.0,19,14569,1549209.0,30729.0,1.43%,142882.0
3098,20200705,KS,15919.0,175642.0,0,0,277.0,0,0,191561.0,842.0,0.00%,15077.0
3114,20200705,NJ,173402.0,1361238.0,369,25723,15125.0,22,26092,1534640.0,30660.0,1.41%,142742.0
3154,20200704,KS,15919.0,175642.0,0,0,277.0,0,0,191561.0,842.0,0.00%,15077.0
3170,20200704,NJ,173033.0,1335515.0,291,22756,15103.0,25,23047,1508548.0,30565.0,1.26%,142468.0
3210,20200703,KS,15919.0,175642.0,929,7459,277.0,5,8388,191561.0,842.0,11.08%,15077.0
3226,20200703,NJ,172742.0,1312759.0,386,21202,15078.0,58,21588,1485501.0,30464.0,1.79%,142278.0
3266,20200702,KS,14990.0,168183.0,0,0,272.0,0,0,183173.0,834.0,0.00%,14156.0
3282,20200702,NJ,172356.0,1291557.0,428,20548,15020.0,27,20976,1463913.0,30383.0,2.04%,141973.0
3322,20200701,KS,14990.0,168183.0,547,5901,272.0,2,6448,183173.0,834.0,8.48%,14156.0
3338,20200701,NJ,171928.0,1271009.0,261,20302,14993.0,43,20563,1442937.0,30300.0,1.27%,141628.0
3378,20200630,KS,14443.0,162282.0,0,0,270.0,0,0,176725.0,794.0,0.00%,13649.0
3394,20200630,NJ,171667.0,1250707.0,395,17995,14950.0,43,18390,1422374.0,30213.0,2.15%,141454.0
3434,20200629,KS,14443.0,162282.0,905,7961,270.0,6,8866,176725.0,794.0,10.21%,13649.0
3450,20200629,NJ,171272.0,1232712.0,90,16061,14907.0,19,16151,1403984.0,30163.0,0.56%,141109.0
3490,20200628,KS,13538.0,154321.0,0,0,264.0,0,0,167859.0,779.0,0.00%,12759.0
3506,20200628,NJ,171182.0,1216651.0,309,20274,14888.0,27,20583,1387833.0,30092.0,1.50%,141090.0
3546,20200627,KS,13538.0,154321.0,0,0,264.0,0,0,167859.0,779.0,0.00%,12759.0
3562,20200627,NJ,170873.0,1196377.0,289,20289,14861.0,36,20578,1367250.0,29967.0,1.40%,140906.0
3602,20200626,KS,13538.0,154321.0,568,5586,264.0,3,6154,167859.0,779.0,9.23%,12759.0
3618,20200626,NJ,170584.0,1176088.0,388,25374,14825.0,43,25762,1346672.0,29855.0,1.51%,140729.0
3658,20200625,KS,12970.0,148735.0,0,0,261.0,0,0,161705.0,747.0,0.00%,12223.0
3674,20200625,NJ,170196.0,1150714.0,304,20961,14782.0,23,21265,1320910.0,29740.0,1.43%,140456.0
3714,20200624,KS,12970.0,148735.0,505,6187,261.0,2,6692,161705.0,747.0,7.55%,12223.0
3730,20200624,NJ,169892.0,1129753.0,158,16036,14759.0,46,16194,1299645.0,29627.0,0.98%,140265.0
3770,20200623,KS,12465.0,142548.0,0,0,259.0,0,0,155013.0,722.0,0.00%,11743.0
3786,20200623,NJ,169734.0,1113717.0,319,15733,14713.0,56,16052,1283451.0,29517.0,1.99%,140217.0
3826,20200622,KS,12465.0,142548.0,406,6958,259.0,5,7364,155013.0,722.0,5.51%,11743.0
3842,20200622,NJ,169415.0,1097984.0,273,22159,14657.0,28,22432,1267399.0,29522.0,1.22%,139893.0
3882,20200621,KS,12059.0,135590.0,0,0,254.0,0,0,147649.0,715.0,0.00%,11344.0
3898,20200621,NJ,169142.0,1075825.0,308,25786,14629.0,15,26094,1244967.0,29450.0,1.18%,139692.0
3938,20200620,KS,12059.0,135590.0,0,0,254.0,0,0,147649.0,715.0,0.00%,11344.0
3954,20200620,NJ,168834.0,1050039.0,338,24192,14614.0,23,24530,1218873.0,29318.0,1.38%,139516.0
3994,20200619,KS,12059.0,135590.0,378,5147,254.0,7,5525,147649.0,715.0,6.84%,11344.0
4010,20200619,NJ,168496.0,1025847.0,389,22220,14591.0,35,22609,1194343.0,29209.0,1.72%,139287.0
4050,20200618,KS,11681.0,130443.0,0,0,247.0,0,0,142124.0,696.0,0.00%,10985.0
4066,20200618,NJ,168107.0,1003627.0,404,23489,14556.0,32,23893,1171734.0,29101.0,1.69%,139006.0
4106,20200617,KS,11681.0,130443.0,262,4900,247.0,2,5162,142124.0,696.0,5.08%,10985.0
4122,20200617,NJ,167703.0,980138.0,277,15782,14524.0,42,16059,1147841.0,28966.0,1.72%,138737.0
4162,20200616,KS,11419.0,125543.0,0,0,245.0,0,0,136962.0,676.0,0.00%,10743.0
4178,20200616,NJ,167426.0,964356.0,323,15376,14482.0,52,15699,1131782.0,28872.0,2.06%,138554.0
4218,20200615,KS,11419.0,125543.0,372,7438,245.0,2,7810,136962.0,676.0,4.76%,10743.0
4234,20200615,NJ,167103.0,948980.0,222,18245,14430.0,52,18467,1116083.0,28819.0,1.20%,138284.0
4274,20200614,KS,11047.0,118105.0,0,0,243.0,0,0,129152.0,667.0,0.00%,10380.0
4290,20200614,NJ,166881.0,930735.0,276,19125,14378.0,37,19401,1097616.0,28714.0,1.42%,138167.0
4330,20200613,KS,11047.0,118105.0,0,0,243.0,0,0,129152.0,667.0,0.00%,10380.0
4346,20200613,NJ,166605.0,911610.0,441,22378,14341.0,103,22819,1078215.0,28606.0,1.93%,137999.0
4386,20200612,KS,11047.0,118105.0,235,5175,243.0,3,5410,129152.0,667.0,4.34%,10380.0
4402,20200612,NJ,166164.0,889232.0,348,24255,14238.0,49,24603,1055396.0,28509.0,1.41%,137655.0
4442,20200611,KS,10812.0,112930.0,0,0,240.0,0,0,123742.0,657.0,0.00%,10155.0
4458,20200611,NJ,165816.0,864977.0,470,21389,14189.0,67,21859,1030793.0,28376.0,2.15%,137440.0
4498,20200610,KS,10812.0,112930.0,162,4071,240.0,4,4233,123742.0,657.0,3.83%,10155.0
4514,20200610,NJ,165346.0,843588.0,550,18887,14122.0,76,19437,1008934.0,28207.0,2.83%,137139.0
4554,20200609,KS,10650.0,108859.0,0,0,236.0,0,0,119509.0,625.0,0.00%,10025.0
4570,20200609,NJ,164796.0,824701.0,299,14109,14046.0,93,14408,989497.0,28036.0,2.08%,136760.0
4610,20200608,KS,10650.0,108859.0,257,5599,236.0,4,5856,119509.0,625.0,4.39%,10025.0
4626,20200608,NJ,164497.0,810592.0,333,14331,13953.0,39,14664,975089.0,27941.0,2.27%,136556.0
4666,20200607,KS,10393.0,103260.0,0,0,232.0,0,0,113653.0,612.0,0.00%,9781.0
4682,20200607,NJ,164164.0,796261.0,271,17138,13914.0,71,17409,960425.0,27824.0,1.56%,136340.0
4722,20200606,KS,10393.0,103260.0,0,0,232.0,0,0,113653.0,612.0,0.00%,9781.0
4738,20200606,NJ,163893.0,779123.0,557,23568,13843.0,58,24125,943016.0,27641.0,2.31%,136252.0
4778,20200605,KS,10393.0,103260.0,223,5377,232.0,10,5600,113653.0,612.0,3.98%,9781.0
4794,20200605,NJ,163336.0,755555.0,806,60356,13785.0,82,61162,918891.0,27433.0,1.32%,135903.0
4834,20200604,KS,10170.0,97883.0,0,0,222.0,0,0,108053.0,592.0,0.00%,9578.0
