,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
7426,4/23/2020,NJ,99989,100159,4124,4365,6610,332,8489,200148,0,48.58%,93379
7466,4/22/2020,KS,2211,17992,186,916,110,3,1102,20203,0,16.88%,2101
7482,4/22/2020,NJ,95865,95794,3478,3355,6278,343,6833,191659,0,50.90%,89587
7522,4/21/2020,KS,2025,17076,39,301,107,7,340,19101,0,11.47%,1918
7538,4/21/2020,NJ,92387,92439,3581,3188,5935,414,6769,184826,0,52.90%,86452
7578,4/20/2020,KS,1986,16775,137,494,100,8,631,18761,0,21.71%,1886
7594,4/20/2020,NJ,88806,89251,3505,3864,5521,208,7369,178057,0,47.56%,83285
7634,4/19/2020,KS,1849,16281,59,395,92,6,454,18130,0,13.00%,1757
7650,4/19/2020,NJ,85301,85387,3881,4271,5313,171,8152,170688,0,47.61%,79988
7690,4/18/2020,KS,1790,15886,85,690,86,2,775,17676,0,10.97%,1704
7706,4/18/2020,NJ,81420,81116,2953,2134,5142,286,5087,162536,0,58.05%,76278
7746,4/17/2020,KS,1705,15196,117,662,84,4,779,16901,0,15.02%,1621
7762,4/17/2020,NJ,78467,78982,3150,2469,4856,365,5619,157449,0,56.06%,73611
7802,4/16/2020,KS,1588,14534,94,1360,80,4,1454,16122,0,6.46%,1508
7818,4/16/2020,NJ,75317,76513,4287,3522,4491,421,7809,151830,0,54.90%,70826
7858,4/15/2020,KS,1494,13174,68,453,76,7,521,14668,0,13.05%,1418
7874,4/15/2020,NJ,71030,72991,2206,2041,4070,409,4247,144021,0,51.94%,66960
7914,4/14/2020,KS,1426,12721,50,233,69,7,283,14147,0,17.67%,1357
7930,4/14/2020,NJ,68824,70950,4240,6065,3661,411,10305,139774,0,41.15%,65163
7970,4/13/2020,KS,1376,12488,39,572,62,6,611,13864,0,6.38%,1314
7986,4/13/2020,NJ,64584,64885,2734,0,3250,165,2734,129469,0,100.00%,61334
8026,4/12/2020,KS,1337,11916,69,841,56,1,910,13253,0,7.58%,1281
8042,4/12/2020,NJ,61850,64885,3699,2843,3085,240,6542,126735,0,56.54%,58765
8082,4/11/2020,KS,1268,11075,102,827,55,5,929,12343,0,10.98%,1213
8098,4/11/2020,NJ,58151,62042,3563,3107,2845,324,6670,120193,0,53.42%,55306
8138,4/10/2020,KS,1166,10248,60,579,50,8,639,11414,0,9.39%,1116
8154,4/10/2020,NJ,54588,58935,3561,2770,2521,285,6331,113523,682,56.25%,51385
8194,4/9/2020,KS,1106,9669,60,532,42,4,592,10775,0,10.14%,1064
8210,4/9/2020,NJ,51027,56165,3590,3186,2236,267,6776,107192,0,52.98%,48791
8250,4/8/2020,KS,1046,9137,146,523,38,11,669,10183,0,21.82%,1008
8266,4/8/2020,NJ,47437,52979,3021,2421,1969,338,5442,100416,0,55.51%,45468
8306,4/7/2020,KS,900,8614,55,375,27,2,430,9514,0,12.79%,873
8322,4/7/2020,NJ,44416,50558,3326,2616,1631,297,5942,94974,0,55.97%,42785
8362,4/6/2020,KS,845,8239,98,763,25,3,861,9084,0,11.38%,820
8378,4/6/2020,NJ,41090,47942,3585,3281,1334,150,6866,89032,0,52.21%,39756
8418,4/5/2020,KS,747,7476,49,596,22,1,645,8223,0,7.60%,725
8434,4/5/2020,NJ,37505,44661,3381,3429,1184,126,6810,82166,0,49.65%,36321
